Federative_Unit,NM_MUN,Lula_votes,Lula_per,Jair_votes,Jair_per
Bahia,Itamaraju,16983,50.21,16841,49.79
Bahia,Itamari,3124,69.13,1395,30.87
Bahia,Itambé,9824,71.32,3951,28.68
Bahia,Itanagra,3621,82.5,768,17.5
Bahia,Itanhém,7003,64.38,3874,35.62
Bahia,Itaparica,11267,79.9,2834,20.1
Bahia,Itapé,4073,65.85,2112,34.15
Bahia,Itapebi,4137,75.22,1363,24.78
Bahia,Itapetinga,19427,53.03,17204,46.97
Bahia,Itapicuru,14442,84.01,2749,15.99
Bahia,Itapitanga,3297,73.89,1165,26.11
Bahia,Itaquara,3615,76.35,1120,23.65
Bahia,Itarantim,6171,61.12,3926,38.88
Bahia,Itatim,6974,72.52,2643,27.48
Bahia,Itiruçu,5074,74.46,1740,25.54
Bahia,Itiúba,15313,74.06,5363,25.94
Bahia,Itororó,7735,65.27,4115,34.73
Bahia,Ituaçu,8482,71.05,3456,28.95
Bahia,Ituberá,7777,62.48,4671,37.52
Bahia,Iuiu,5342,81.35,1225,18.65
Bahia,Jaborandi,5236,76.72,1589,23.28
Bahia,Jacaraci,7016,81.91,1550,18.09
Bahia,Jacobina,33363,73.43,12073,26.57
Bahia,Jaguaquara,17953,69.67,7814,30.33
Bahia,Jaguarari,12791,76.44,3942,23.56
Bahia,Jaguaripe,9077,81.89,2007,18.11
Bahia,Jandaíra,5066,82.98,1039,17.02
Bahia,Jequié,57735,64.5,31782,35.5
Bahia,Jeremoabo,18195,83.28,3652,16.72
Bahia,Jiquiriçá,6483,79.1,1713,20.9
Bahia,Jitaúna,6671,75.03,2220,24.97
Bahia,João Dourado,9684,67.35,4695,32.65
Bahia,Juazeiro,84872,67.02,41773,32.98
Bahia,Jucuruçu,4326,70.93,1773,29.07
Bahia,Jussara,9230,90.12,1012,9.88
Bahia,Jussari,2111,64.09,1183,35.91
Bahia,Jussiape,3922,77.17,1160,22.83
Bahia,Lafaiete Coutinho,2584,81.51,586,18.49
Bahia,Lagoa Real,6963,85.39,1191,14.61
Bahia,Laje,11497,75.28,3775,24.72
Bahia,Lajedão,1934,60.29,1274,39.71
Bahia,Lajedinho,2161,82.29,465,17.71
Bahia,Lajedo Do Tabocal,3895,81.69,873,18.31
Bahia,Lamarão,4997,88.82,629,11.18
Bahia,Lapão,14157,79.9,3562,20.1
Bahia,Lauro De Freitas,79443,66.36,40270,33.64
Bahia,Lençóis,5147,85.17,896,14.83
Bahia,Licínio De Almeida,5534,73.75,1970,26.25
Bahia,Livramento De Nossa Senhora,21341,77.95,6037,22.05
Bahia,Luís Eduardo Magalhães,22542,41.39,31918,58.61
Bahia,Macajuba,5268,77.71,1511,22.29
Bahia,Macarani,5647,61.28,3568,38.72
Bahia,Macaúbas,19744,79.48,5099,20.52
Bahia,Macururé,4186,86.27,666,13.73
Bahia,Madre De Deus,10187,80.27,2504,19.73
Bahia,Maetinga,3578,79.23,938,20.77
Bahia,Maiquinique,3345,61.61,2084,38.39
Bahia,Mairi,7845,77.96,2218,22.04
Bahia,Malhada,7343,72.7,2758,27.3
Bahia,Malhada De Pedras,4502,74.24,1562,25.76
Bahia,Manoel Vitorino,7951,83.92,1524,16.08
Bahia,Mansidão,5491,83.31,1100,16.69
Bahia,Maracás,12388,78.71,3351,21.29
Bahia,Maragogipe,21520,81.07,5024,18.93
Bahia,Maraú,8128,78.17,2270,21.83
Bahia,Marcionílio Souza,4412,81,1035,19
Bahia,Mascote,4802,74.19,1671,25.81
Bahia,Mata De São João,23805,77.55,6890,22.45
Bahia,Matina,6611,89.33,790,10.67
